xs,ys,zs,xe,ye,ze,h
-20.553675,12.059983,-19.099604,0.0,0.0,0.0,0.0
-20.61,12.52,-21.43,-18.741809,11.383035,-19.493761,0.0
-20.77,12.8,-21.72,-21.052723,12.973702,-22.016766,0.0
-20.61,13.06,-21.54,-20.560296,13.03022,-21.489264,0.0
-21.12,13.03,-21.01,-20.904477,12.892164,-20.792963,0.0
-22.23,12.51,-20.54,-23.387661,13.162695,-21.616021,0.0
-22.02,13.96,-21.2,-27.612275,17.507886,-26.586008,0.0
-21.62,12.64,-20.05,-18.727693,10.947959,-17.369508,0.0
-22.21,12.91,-20.5,-23.788883,13.824472,-21.954795,0.0
-21.9,12.77,-20.22,-20.86521,12.159909,-19.260627,0.0
-22.54,13.41,-20.8,-27.802734,16.543294,-25.655243,0.0
-21.89,12.96,-20.15,-20.982877,12.423096,-19.318842,0.0
-21.79,13.51,-20.35,-22.524303,13.967656,-21.040579,0.0
-21.75,12.7,-19.86,-18.641364,10.886805,-17.019904,0.0
-21.78,12.99,-19.9,-19.479947,11.616808,-17.797481,0.0
-21.96,12.98,-19.92,-19.010051,11.237746,-17.24678,0.0
-21.69,13.52,-19.71,-19.94967,12.432092,-18.120601,0.0
-22.06,13.0,-20.31,-22.608397,13.318826,-20.809838,0.0
