xs,ys,zs,xe,ye,ze,h
-28.153195,-25.514374,-91.028918,0.0,0.0,0.0,0.0
-31.27,54.92,-26.42,-32.206657,56.566832,-27.207118,0.0
-32.41,54.03,-25.95,-31.846677,53.083501,-25.499679,0.0
-32.76,53.94,-25.87,-41.475378,68.284371,-32.743712,1.0
-32.01,54.05,-25.07,-29.414131,49.665562,-23.038303,0.0
-31.07,54.95,-26.85,-32.368298,57.231123,-27.964163,0.0
-31.91,54.18,-26.56,-31.857708,54.094843,-26.518992,0.0
-31.51,54.99,-26.51,-33.18565,57.913384,-27.9155,0.0
-31.55,54.91,-26.02,-32.377225,56.33927,-26.695776,0.0
-32.49,53.82,-25.93,-31.41032,52.038448,-25.06899,0.0
-32.09,54.36,-26.24,-32.272136,54.667643,-26.391675,0.0
