xs,ys,zs,xe,ye,ze,h
20.618056,58.490533,72.411801,0.0,0.0,0.0,0.0
18.38,59.21,71.6,18.737516,60.367657,72.996473,0.0
17.43,58.43,71.62,16.755995,56.18365,68.875516,0.0
20.09,58.2,70.86,18.662739,54.075244,65.839947,0.0
18.12,58.07,71.67,17.306534,55.468861,68.453878,0.0
19.48,57.97,71.12,18.224759,54.232831,66.533606,0.0
18.9,58.47,72.22,19.404074,60.046664,74.167004,0.0
19.8,58.61,72.31,21.00651,62.171494,76.709416,0.0
19.84,57.75,71.18,18.532697,53.935029,66.479771,0.0
18.33,58.48,72.89,19.533169,62.318481,77.672728,0.0
17.64,58.23,72.96,18.392592,60.701354,76.065628,0.0
20.46,58.03,71.84,20.622381,58.502804,72.42699,0.0
17.91,57.55,72.12,16.911539,54.355392,68.114639,0.0
18.05,56.79,71.19,15.282956,48.088025,60.278563,0.0
17.68,57.33,72.03,16.449877,53.34098,67.018429,0.0
17.89,57.89,72.73,18.146649,58.721485,73.772127,0.0
18.21,57.26,72.0,17.076982,53.708995,67.532822,0.0
18.43,58.15,73.21,19.734125,62.261044,78.385252,0.0
20.88,57.86,71.87,21.072782,58.397744,72.540139,0.0
18.31,57.56,72.51,30.520069,95.949164,120.87046,1.0
20.92,58.1,72.29,21.985962,61.064559,75.985143,0.0
20.89,57.9,72.05,21.383277,59.260775,73.742635,0.0
19.07,58.46,73.58,21.454267,65.764224,82.769065,0.0
20.83,58.18,72.7,22.529483,62.920948,78.635976,0.0
20.2,56.79,71.15,17.878952,50.2665,62.979946,0.0
20.25,57.06,71.69,26.701024,75.229401,94.529946,1.0
21.38,57.03,71.6,20.426029,54.478043,68.402925,0.0
19.93,56.97,72.14,19.135592,54.704657,69.274324,0.0
20.68,57.2,72.41,20.80583,57.555537,72.856023,0.0
18.9,56.88,72.69,18.386475,55.352428,70.733787,0.0
18.72,56.57,72.31,17.338601,52.398916,66.979329,0.0
17.8,56.54,72.81,16.906131,53.699556,69.150772,0.0
17.78,56.57,72.82,16.812538,53.50664,68.885027,0.0
18.96,56.6,72.53,17.983373,53.675661,68.78058,0.0
18.26,56.36,73.76,18.417659,56.842462,74.395569,0.0
20.95,55.87,72.7,20.090788,53.58782,69.731986,0.0
20.43,57.83,71.66,20.102805,56.913942,70.527224,0.0
18.47,56.46,71.32,15.534696,47.483223,59.978166,0.0
19.96,56.14,71.93,17.951812,50.482009,64.680904,0.0
20.81,58.34,72.17,21.903551,61.418248,75.987171,0.0
19.94,58.81,70.63,19.116922,56.383258,67.720753,0.0
19.0,59.08,71.71,19.563341,60.826815,73.830507,0.0
17.04,57.97,71.84,16.06494,54.663402,67.746739,0.0
