xs,ys,zs,xe,ye,ze,h
38.246777,-42.441493,-29.589514,0.0,0.0,0.0,0.0
43.26,-48.27,-32.13,42.850423,-47.803127,-31.818624,0.0
43.39,-48.37,-32.33,44.234571,-49.297219,-32.956446,0.0
43.16,-48.13,-32.65,43.203724,-48.168713,-32.680474,0.0
43.68,-47.95,-32.78,45.000719,-49.386277,-33.763154,0.0
42.13,-48.77,-33.61,43.449407,-50.284654,-34.656963,0.0
42.31,-48.29,-33.43,42.12285,-48.069037,-33.281778,0.0
42.64,-47.43,-33.01,62.369731,-69.367907,-48.285958,1.0
42.55,-47.22,-32.92,39.364339,-43.681624,-30.454113,0.0
42.99,-47.69,-33.28,42.325767,-46.948839,-32.768521,0.0
42.56,-47.24,-33.14,38.557066,-42.788551,-30.01658,0.0
42.73,-47.2,-33.15,39.460633,-43.574955,-30.612418,0.0
42.92,-46.54,-32.73,36.673926,-39.756411,-27.965033,0.0
42.87,-46.96,-33.05,38.937622,-42.642456,-30.014812,0.0
43.62,-47.95,-34.04,47.736644,-52.467043,-37.250995,0.0
44.44,-46.79,-33.27,45.399981,-47.79901,-33.989487,0.0
44.26,-47.84,-34.21,50.380006,-54.445679,-38.943696,0.0
42.32,-46.94,-33.65,38.114687,-42.271388,-30.299682,0.0
43.28,-48.19,-32.66,44.057617,-49.039453,-33.240447,0.0
42.53,-48.24,-33.61,43.241333,-49.047251,-34.17664,0.0
43.16,-47.47,-33.46,42.551945,-46.802642,-32.988487,0.0
43.24,-48.62,-32.33,44.388887,-49.902797,-33.189063,0.0
