xs,ys,zs,xe,ye,ze,h
-7.8927783,11.482331,8.6688082,0.0,0.0,0.0,0.0
-8.78,13.29,9.3,-9.5422473,14.446625,10.111529,0.0
-8.59,12.89,9.14,-7.4398595,11.158242,7.9099314,0.0
-8.94,13.26,9.52,-15.972996,23.675996,16.997117,1.0
-8.9,12.81,9.49,-13.605396,19.576394,14.501183,1.0
-8.52,12.67,9.5,-6.8388376,10.165663,7.6232861,0.0
-8.58,12.51,9.39,-14.254546,20.776143,15.595577,1.0
-8.69,12.65,9.55,-13.960767,20.309978,15.333409,1.0
-8.79,12.75,9.67,-12.274539,17.80805,13.511256,1.0
-9.32,12.75,10.04,-11.309141,15.475287,12.180432,0.0
-8.73,12.68,10.0,-9.1364454,13.270764,10.46118,0.0
