xs,ys,zs,xe,ye,ze,h
56.066984,-116.26724,-1.6279589,0.0,0.0,0.0,0.0
56.65,-120.18,-0.97,56.027296,-118.84174,-0.9563331,0.0
56.66,-119.06,-1.34,52.564282,-110.43183,-1.2423361,0.0
56.77,-119.98,-1.49,55.662918,-117.61521,-1.4559129,0.0
55.92,-118.17,-1.55,47.696374,-100.76369,-1.3250465,0.0
58.19,-119.56,-1.69,57.959714,-119.05002,-1.6793312,0.0
56.75,-120.17,-2.31,82.341395,-174.32339,-3.3451484,1.0
56.33,-119.55,-1.4,53.30215,-113.09119,-1.3279326,0.0
58.56,-118.87,-1.78,56.544311,-114.75372,-1.7226874,0.0
58.43,-118.97,-1.66,57.057861,-116.15216,-1.6167124,0.0
