xs,ys,zs,xe,ye,ze,h
47.482788,-14.75694,-4.7560502,0.0,0.0,0.0,0.0
54.36,-16.27,-4.29,61.035501,-18.259076,-4.8172508,0.0
54.36,-16.01,-4.48,60.935833,-17.938833,-5.0260279,0.0
52.99,-16.54,-4.91,52.252344,-16.301578,-4.8428957,0.0
53.62,-16.0,-4.88,54.472671,-16.246963,-4.9606365,0.0
53.21,-15.23,-4.55,48.810566,-13.965111,-4.1698853,0.0
52.53,-16.15,-5.15,45.33971,-13.931775,-4.4481369,0.0
52.69,-16.38,-5.28,79.555508,-24.724662,-7.9685715,1.0
53.28,-16.42,-5.32,52.838098,-16.279675,-5.2724871,0.0
51.9,-16.16,-5.26,39.973841,-12.438327,-4.0526168,0.0
53.12,-16.17,-5.27,50.706023,-15.429142,-5.0337308,0.0
53.42,-15.78,-5.99,72.059425,-21.285016,-8.0757401,1.0
52.48,-15.6,-6.3,44.556515,-13.242611,-5.3529763,0.0
54.37,-16.01,-4.53,61.036131,-17.9707,-5.0905401,0.0
