xs,ys,zs,xe,ye,ze,h
41.664546,-19.455681,-1.5691488,0.0,0.0,0.0,0.0
42.04,-19.79,-0.52,38.372273,-18.054156,-0.4735131,0.0
41.93,-20.43,-0.91,39.619319,-19.303237,-0.86082553,0.0
42.23,-19.77,-0.79,39.88136,-18.66662,-0.74569685,0.0
41.02,-20.36,-1.34,31.87656,-15.816683,-1.0380058,0.0
41.45,-20.16,-1.26,35.043872,-17.036069,-1.0675977,0.0
42.4,-20.32,-1.24,43.203356,-20.693073,-1.2622228,0.0
42.66,-19.88,-1.2,43.982748,-20.496929,-1.2350619,0.0
41.43,-20.2,-1.51,34.956436,-17.041387,-1.2754596,0.0
42.71,-19.97,-1.27,44.518256,-20.810257,-1.328024,0.0
42.78,-20.14,-1.44,45.734234,-21.525339,-1.5376904,0.0
41.88,-19.61,-1.55,36.560671,-17.112298,-1.3559867,0.0
42.29,-19.78,-1.58,40.512665,-18.947335,-1.5116059,0.0
43.09,-20.12,-1.6,48.234418,-22.513652,-1.7899844,0.0
42.41,-19.81,-1.6,57.106282,-26.666355,-2.1507079,1.0
43.09,-19.53,-1.47,46.311033,-20.989132,-1.5815959,0.0
43.06,-19.39,-1.47,45.889719,-20.659534,-1.5620073,0.0
41.85,-19.32,-1.68,35.379922,-16.324063,-1.4164049,0.0
42.85,-19.51,-1.7,44.168771,-20.102441,-1.7564585,0.0
43.43,-19.49,-1.72,48.717272,-21.855324,-1.9331717,0.0
42.63,-20.49,-2.25,45.961407,-22.085486,-2.4254628,0.0
43.02,-20.52,-2.22,49.139091,-23.433994,-2.5392217,0.0
42.07,-19.35,-1.93,37.371824,-17.186826,-1.7113485,0.0
43.31,-19.34,-2.01,47.642645,-21.264866,-2.2163637,0.0
42.48,-19.71,-2.43,42.144175,-19.549358,-2.4086383,0.0
42.89,-18.68,-2.0,41.998365,-18.289571,-1.9625033,0.0
42.41,-19.31,-2.31,61.61534,-28.05116,-3.3519368,1.0
42.69,-19.09,-2.38,41.885085,-18.726525,-2.3324856,0.0
43.08,-19.77,-2.63,47.34607,-21.718643,-2.8912164,0.0
