xs,ys,zs,xe,ye,ze,h
34.538999,-16.576222,29.364592,0.0,0.0,0.0,0.0
33.86,-16.29,28.94,53.950048,-25.952352,46.116137,1.0
33.69,-16.34,28.49,31.23605,-15.146194,26.41224,0.0
