xs,ys,zs,xe,ye,ze,h
-124.976,75.408135,-3.6786027,0.0,0.0,0.0,0.0
-130.51,79.09,-6.56,-126.43048,76.616182,-6.3573177,0.0
-130.52,78.68,-6.34,-124.8232,75.236373,-6.059119,0.0
-131.04,79.49,-5.96,-131.28152,79.63011,-5.9668929,0.0
-130.49,78.9,-5.75,-125.24757,75.717584,-5.5159998,0.0
-131.1,79.71,-4.2,-132.04654,80.273912,-4.2283001,0.0
-130.36,79.14,-3.81,-124.8948,75.814259,-3.6481669,0.0
-130.57,78.79,-3.84,-124.94176,75.387479,-3.6776009,0.0
-129.89,77.6,-3.96,-115.94988,69.266375,-3.536405,0.0
-131.67,79.4,-3.73,-134.73373,81.244811,-3.8165292,0.0
-130.29,78.7,-3.64,-122.81867,74.17406,-3.431135,0.0
-131.73,79.86,-3.18,-137.75864,83.512661,-3.3270374,0.0
-132.02,79.32,-3.27,-136.59907,82.06342,-3.3855549,0.0
-131.58,79.06,-2.95,-132.94527,79.868035,-2.9775792,0.0
-131.73,79.09,-2.89,-134.5151,80.751796,-2.953371,0.0
-130.22,76.99,-2.0,-115.69357,68.395028,-1.7795732,0.0
-131.6,77.8,-0.76,-128.33937,75.870196,-0.73936019,0.0
-133.88,75.17,-1.53,-135.45612,76.045215,-1.5451704,0.0
-129.38,78.43,-4.28,-115.45336,69.979722,-3.8163012,0.0
-131.25,79.0,-4.21,-130.55856,78.580483,-4.186077,0.0
-129.54,77.46,-3.77,-112.73575,67.403583,-3.2772142,0.0
-130.72,77.44,-5.29,-121.54094,71.996134,-4.9171616,0.0
-129.27,79.5,-3.24,-118.34502,72.770357,-2.9686932,0.0
-132.04,78.58,-3.39,-134.55943,80.072642,-3.4578968,0.0
-130.95,77.21,-3.36,-121.70907,71.753016,-3.1224488,0.0
-131.51,78.72,-2.75,-131.27585,78.576201,-2.7482624,0.0
-130.18,78.45,-2.41,-120.35244,72.518902,-2.2317016,0.0
-133.15,75.49,-2.75,-131.49575,74.54462,-2.7127733,0.0
-133.67,74.93,-2.26,-133.15302,74.634393,-2.2484879,0.0
-132.1,74.13,-1.71,-118.74571,66.628512,-1.5383643,0.0
