xs,ys,zs,xe,ye,ze,h
-20.539834,-59.680039,-15.199164,0.0,0.0,0.0,0.0
-21.74,-62.36,-15.51,-17.948053,-51.498561,-12.806483,0.0
-20.07,-64.65,-15.93,-21.148083,-68.135688,-16.784239,0.0
-20.65,-64.05,-16.25,-21.241393,-65.891249,-16.716307,0.0
-20.74,-64.59,-16.41,-22.616165,-70.433283,-17.899546,0.0
-20.71,-63.96,-16.48,-21.162572,-65.365785,-16.840643,0.0
-20.69,-63.38,-16.48,-19.850897,-60.836971,-15.819331,0.0
-20.96,-64.85,-17.04,-24.402278,-75.522599,-19.842931,0.0
-20.98,-64.51,-17.24,-23.153352,-71.211102,-19.026531,0.0
-21.38,-63.17,-16.36,-20.137854,-59.501263,-15.413269,0.0
-20.52,-63.45,-16.28,-19.192352,-59.373385,-15.229829,0.0
-20.54,-63.76,-16.49,-20.461306,-63.533345,-16.432792,0.0
-20.42,-63.81,-16.57,-20.422656,-63.842438,-16.581941,0.0
-20.91,-64.49,-16.87,-22.753689,-70.203062,-18.36851,0.0
-20.29,-63.27,-16.68,-18.696234,-58.32649,-15.375106,0.0
