xs,ys,zs,xe,ye,ze,h
16.000495,98.04108,-24.688061,0.0,0.0,0.0,0.0
17.28,99.34,-26.73,16.950223,97.441412,-26.215331,0.0
16.61,99.57,-26.48,16.539983,99.149307,-26.366839,0.0
16.39,99.15,-26.04,15.382813,93.091314,-24.449485,0.0
16.49,99.49,-25.65,15.83502,95.532642,-24.632762,0.0
18.04,100.24,-25.03,26.979829,149.89034,-37.423633,1.0
15.77,100.32,-25.59,15.979581,101.68516,-25.934618,0.0
16.31,99.93,-25.16,16.016128,98.13686,-24.712184,0.0
15.76,100.81,-25.69,16.590328,106.16796,-27.055145,0.0
16.04,98.7,-24.85,14.022828,86.289221,-21.724112,0.0
15.98,99.64,-25.13,15.235715,95.018055,-23.961031,0.0
15.61,100.76,-25.46,16.282632,105.12986,-26.565227,0.0
16.2,99.62,-24.8,15.355213,94.463378,-23.515745,0.0
15.57,100.92,-25.34,16.387586,106.25186,-26.682984,0.0
14.36,100.71,-25.72,14.791796,103.72325,-26.491804,0.0
14.35,100.4,-25.56,14.391137,100.69621,-25.635486,0.0
16.63,101.25,-25.99,27.179891,165.45993,-42.47061,1.0
