xs,ys,zs,xe,ye,ze,h
23.172296,-45.084269,-6.9136809,0.0,0.0,0.0,0.0
22.07,-45.29,-6.43,21.590713,-44.298863,-6.2892202,0.0
23.06,-45.28,-6.29,24.261749,-47.639511,-6.6197785,0.0
22.72,-45.33,-6.58,23.527395,-46.93305,-6.8113241,0.0
22.51,-44.92,-6.62,21.678042,-43.242155,-6.3751565,0.0
22.73,-45.11,-6.67,22.976412,-45.583319,-6.742821,0.0
22.82,-45.07,-6.68,23.064545,-45.537604,-6.7508128,0.0
23.03,-45.39,-6.81,24.714991,-48.689632,-7.3073258,0.0
23.13,-45.27,-6.92,28.338901,-55.454355,-8.4760665,0.0
23.07,-44.89,-6.88,23.00018,-44.749398,-6.8623283,0.0
22.92,-44.75,-6.88,22.339607,-43.604467,-6.7003679,0.0
23.08,-44.74,-6.86,22.394052,-43.401041,-6.6603443,0.0
23.15,-44.97,-6.9,23.718874,-46.072779,-7.0713537,0.0
23.12,-44.9,-6.94,35.262258,-68.454164,-10.579274,1.0
23.19,-44.79,-6.91,23.286145,-44.976682,-6.935986,0.0
22.94,-44.25,-7.1,20.286366,-39.11795,-6.2761021,0.0
22.46,-44.6,-7.28,20.794935,-41.290492,-6.7397616,0.0
22.73,-45.01,-7.37,22.983246,-45.503396,-7.4512928,0.0
22.9,-43.81,-7.07,18.998322,-36.346891,-5.8661913,0.0
22.94,-45.32,-7.5,24.633709,-48.647562,-8.0504321,0.0
23.78,-44.76,-7.25,25.034715,-47.118459,-7.6370042,0.0
22.78,-43.88,-7.24,19.117817,-36.820067,-6.0759079,0.0
21.97,-44.64,-7.65,20.612103,-41.873675,-7.1739064,0.0
23.58,-44.65,-7.48,23.9357,-45.317514,-7.594822,0.0
23.85,-44.45,-7.38,24.099834,-44.908988,-7.460622,0.0
23.22,-44.41,-7.66,22.374389,-42.781719,-7.3794903,0.0
22.97,-45.31,-7.96,32.468483,-64.025602,-11.249715,1.0
23.67,-44.44,-8.05,23.807643,-44.69155,-8.0932022,0.0
22.28,-45.18,-8.12,22.775137,-46.173399,-8.3025836,0.0
