xs,ys,zs,xe,ye,ze,h
-98.842167,104.58582,-10.42837,0.0,0.0,0.0,0.0
-102.71,106.01,-12.84,-95.386746,98.453085,-11.92136,0.0
-102.21,108.32,-12.39,-102.11265,108.21381,-12.380079,0.0
-100.87,108.7,-11.26,-96.788164,104.30025,-10.807351,0.0
-100.26,108.03,-11.01,-90.914887,97.946456,-9.9827525,0.0
-103.51,106.17,-11.96,-99.492583,102.04078,-11.497211,0.0
-103.2,107.2,-10.97,-101.80251,105.74061,-10.822489,0.0
-102.24,107.55,-10.47,-98.272692,103.36564,-10.064978,0.0
-102.51,106.49,-10.04,-95.197877,98.887552,-9.3205558,0.0
-102.08,106.76,-9.72,-93.587322,97.873393,-8.9115747,0.0
-103.33,106.05,-12.24,-98.201495,100.77601,-11.630934,0.0
-100.79,109.66,-12.3,-100.70086,109.55284,-12.287669,0.0
-102.44,105.97,-12.75,-93.826008,97.05941,-11.679089,0.0
-103.53,105.84,-11.24,-98.028865,100.19937,-10.637918,0.0
