xs,ys,zs,xe,ye,ze,h
-26.445297,37.503308,-2.3559793,0.0,0.0,0.0,0.0
-26.01,36.92,-3.14,-37.205441,52.805719,-4.4877676,1.0
-25.98,37.06,-3.05,-24.602152,35.099001,-2.8906503,0.0
-26.7,37.46,-3.16,-29.013839,40.711807,-3.4289957,0.0
-25.38,37.17,-2.42,-22.495308,32.944765,-2.1461672,0.0
-27.19,36.83,-2.62,-28.302166,38.33668,-2.7274971,0.0
-26.13,36.58,-2.3,-22.833859,31.95996,-2.0061758,0.0
-26.97,36.26,-2.33,-24.870309,33.427639,-2.1492062,0.0
-26.93,36.87,-2.18,-27.230192,37.281965,-2.2045731,0.0
-26.25,37.23,-2.09,-25.915828,36.754984,-2.0594694,0.0
-26.94,36.67,-2.59,-26.266618,35.745349,-2.5218526,0.0
-27.28,37.17,-2.51,-29.96814,40.827155,-2.7517987,0.0
-25.5,37.66,-2.27,-24.716363,36.50502,-2.1964804,0.0
