xs,ys,zs,xe,ye,ze,h
-38.17828,72.752666,63.842549,0.0,0.0,0.0,0.0
-40.92,77.52,67.32,-43.968315,83.276471,72.325682,0.0
-40.15,77.12,67.51,-41.750514,80.178444,70.193405,0.0
-39.24,75.37,66.05,-33.242775,63.852512,55.960406,0.0
-39.98,76.2,66.87,-38.181949,72.759655,63.848689,0.0
-40.02,76.39,67.11,-39.156394,74.725139,65.654706,0.0
-40.14,76.48,67.27,-39.911526,76.033782,66.87361,0.0
-38.83,76.84,67.59,-38.553113,76.27945,67.09768,0.0
-39.71,76.15,67.14,-38.0341,72.924852,64.301892,0.0
-40.58,76.07,67.68,-40.834084,76.533137,68.095043,0.0
-40.53,76.1,67.92,-41.179,77.302388,68.999137,0.0
-39.55,75.35,67.32,-36.318626,69.190432,61.820476,0.0
-41.21,74.75,67.49,-38.705995,70.203429,63.388994,0.0
-39.28,75.62,68.33,-38.281551,73.680883,66.580742,0.0
