xs,ys,zs,xe,ye,ze,h
41.063761,-23.294391,2.3646986,0.0,0.0,0.0,0.0
40.16,-23.28,2.66,41.496253,-24.049234,2.7453524,0.0
40.63,-22.46,2.9,42.078618,-23.253261,3.0041098,0.0
40.44,-23.13,2.69,42.685554,-24.401485,2.8413937,0.0
39.71,-22.75,2.5,35.984011,-20.609643,2.2659432,0.0
40.84,-22.13,2.8,42.645357,-23.104501,2.9229566,0.0
40.54,-22.15,2.67,40.091863,-21.901322,2.6367006,0.0
40.61,-23.3,2.36,44.078113,-25.285363,2.5582769,0.0
39.53,-22.42,2.36,57.899085,-32.832368,3.4482792,1.0
39.78,-22.56,2.33,35.421112,-20.081054,2.07098,0.0
41.24,-23.32,2.43,49.83122,-28.175132,2.931523,0.0
40.32,-22.88,2.32,41.0638,-23.29432,2.364711,0.0
39.55,-22.63,2.21,34.295586,-19.624441,1.9203252,0.0
40.2,-22.95,2.23,54.705206,-31.224723,3.0339208,1.0
40.74,-23.23,2.26,45.215346,-25.782133,2.5112173,0.0
40.38,-22.46,2.33,39.9526,-22.21228,2.3015814,0.0
41.25,-23.01,2.28,48.659388,-27.137651,2.6870606,0.0
39.65,-22.42,2.07,34.079265,-19.269403,1.7747929,0.0
40.38,-22.28,2.13,55.320763,-30.51087,2.9232939,1.0
39.59,-23.48,1.65,37.691145,-22.354681,1.5711005,0.0
40.3,-22.53,2.02,38.981352,-21.788424,1.9516044,0.0
40.69,-21.83,2.25,39.761261,-21.319975,2.1976509,0.0
41.04,-21.98,2.16,43.194859,-23.129265,2.2679778,0.0
40.56,-21.74,2.1,38.681041,-20.727115,2.0021743,0.0
40.01,-22.17,0.94,35.735421,-19.79448,0.83535843,0.0
