xs,ys,zs,xe,ye,ze,h
-106.25426,56.887561,4.2657564,0.0,0.0,0.0,0.0
-109.39,58.57,4.39,-106.13092,56.821523,4.2607998,0.0
-110.2,58.99,5.12,-114.03725,61.030906,5.294879,0.0
-109.96,58.36,4.49,-109.77073,58.251695,4.4775292,0.0
-108.58,58.6,4.6,-100.40517,54.180484,4.2504319,0.0
-108.68,59.24,4.67,-103.33628,56.317318,4.4436226,0.0
-109.91,59.37,4.14,-112.79711,60.925557,4.2522031,0.0
-108.18,57.94,4.4,-95.033054,50.889199,3.865876,0.0
-108.48,57.99,4.86,-97.42944,52.076555,4.3646556,0.0
-108.96,58.9,5.17,-104.29607,56.373966,4.9498164,0.0
-109.19,57.6,3.99,-101.98146,53.794236,3.7271103,0.0
-109.66,58.3,4.43,-107.35698,57.068536,4.3378495,0.0
-108.64,59.69,5.07,-104.71065,57.522245,4.8842673,0.0
-109.63,57.74,3.26,-104.96322,55.277074,3.1202939,0.0
-108.82,59.94,4.68,-106.77128,58.80438,4.589118,0.0
-107.96,59.31,5.84,-98.643455,54.180514,5.3356847,0.0
-108.73,58.04,6.68,-100.27487,53.518993,6.1593138,0.0
