xs,ys,zs,xe,ye,ze,h
-43.794977,26.061485,2.9835307,0.0,0.0,0.0,0.0
-42.0,25.28,1.01,-39.6012,23.833794,0.95295605,0.0
-41.62,26.25,1.83,-38.400908,24.215568,1.6915693,0.0
-42.44,25.36,1.5,-43.254839,25.842503,1.5336518,0.0
-42.16,24.93,1.43,-40.028398,23.664241,1.357021,0.0
-41.92,25.52,2.27,-40.191355,24.460819,2.1756049,0.0
-41.96,25.59,2.68,-40.9028,24.944747,2.6078606,0.0
-41.64,24.83,2.47,-35.746706,21.308484,2.1237765,0.0
-41.26,25.49,2.81,-33.107916,20.450507,2.2545575,0.0
-42.42,24.78,2.4,-56.305582,32.886274,3.1872465,1.0
-42.9,25.11,2.64,-45.980596,26.907171,2.8304465,0.0
-41.45,24.52,2.68,-32.965943,19.498885,2.128309,0.0
-42.2,25.15,2.84,-56.15259,33.455676,3.778101,1.0
-41.67,24.5,2.87,-54.87149,32.258026,3.780043,1.0
-43.27,25.65,3.23,-51.190864,30.341677,3.8229477,0.0
-42.35,24.86,3.23,-41.246961,24.209435,3.1426743,0.0
-42.49,24.94,3.33,-42.76526,25.09942,3.352862,0.0
-42.27,25.25,3.6,-43.145573,25.770362,3.6742436,0.0
-42.69,24.86,4.05,-44.088606,25.673589,4.1806474,0.0
-41.9,25.12,3.2,-38.472012,23.059795,2.9415383,0.0
