xs,ys,zs,xe,ye,ze,h
-25.308542,21.718208,-25.645312,0.0,0.0,0.0,0.0
-24.11,21.59,-25.9,-26.28833,23.535614,-28.233574,0.0
-24.85,20.29,-25.44,-23.982426,19.581388,-24.54491,0.0
-24.03,21.2,-25.3,-23.027069,20.315385,-24.236618,0.0
-24.19,20.82,-25.16,-22.244876,19.141184,-23.136497,0.0
-24.19,20.64,-24.86,-20.197751,17.22921,-20.758015,0.0
-24.63,20.23,-24.86,-21.464971,17.629437,-21.670506,0.0
-24.76,20.32,-24.98,-21.797998,17.890048,-21.99025,0.0
-24.69,20.45,-24.89,-22.134282,18.332253,-22.32116,0.0
-24.22,21.6,-25.22,-24.558563,21.904492,-25.579143,0.0
-23.74,20.39,-24.19,-15.864291,13.623896,-16.163496,0.0
-24.61,21.46,-25.22,-25.653756,22.374294,-26.289463,0.0
-24.49,21.1,-24.93,-23.39208,20.15324,-23.809192,0.0
-24.1,20.84,-24.57,-19.87502,17.187193,-20.26071,0.0
-24.62,21.63,-25.26,-26.927743,23.656666,-27.6356,0.0
-24.33,21.08,-24.81,-21.817984,18.896974,-22.243056,0.0
-25.29,21.74,-25.69,-30.856684,26.530307,-31.350993,0.0
-25.33,21.22,-25.43,-28.845988,24.16821,-28.967338,0.0
-24.97,20.79,-25.0,-24.727096,20.578008,-24.752059,0.0
-24.85,21.33,-25.21,-26.659993,22.887343,-27.045331,0.0
-25.36,21.73,-25.69,-30.637453,26.252454,-31.03168,0.0
-24.75,21.24,-25.08,-25.332605,21.738857,-25.669696,0.0
-24.04,20.69,-24.38,-18.558007,15.96692,-18.821058,0.0
-25.53,21.53,-25.65,-31.369562,26.454164,-31.514368,0.0
-24.74,20.87,-24.85,-23.484513,19.806962,-23.583359,0.0
-24.19,20.73,-24.43,-19.288717,16.525855,-19.480288,0.0
-24.88,21.33,-25.07,-26.32215,22.558516,-26.525088,0.0
-23.93,21.67,-24.68,-21.765627,19.709293,-22.446444,0.0
-24.87,21.28,-24.99,-25.612583,21.917551,-25.733726,0.0
-24.92,21.84,-25.28,-28.242419,24.749946,-28.660487,0.0
-24.23,21.64,-24.78,-23.282548,20.792695,-23.810384,0.0
-24.08,21.09,-24.41,-32.711234,28.636685,-33.150011,1.0
-25.68,20.73,-25.1,-29.252749,23.609068,-28.593032,0.0
-25.66,22.1,-25.77,-33.604321,28.940906,-33.749169,0.0
-25.49,20.69,-24.93,-26.572378,21.566888,-25.984592,0.0
-25.15,20.61,-24.6,-23.470279,19.235106,-22.955592,0.0
-24.12,21.35,-24.27,-20.493797,18.134411,-20.612982,0.0
-25.23,21.35,-24.64,-26.37349,22.311674,-25.756092,0.0
-25.62,21.57,-24.91,-29.337603,24.705623,-28.526781,0.0
-25.39,22.23,-25.08,-30.728177,26.900966,-30.346195,0.0
-24.77,22.58,-24.84,-28.426594,25.905417,-28.502193,0.0
-25.65,20.84,-24.34,-25.325997,20.580612,-24.035665,0.0
-25.01,22.71,-24.65,-29.117233,26.43186,-28.69296,0.0
-25.61,20.74,-23.95,-23.946832,19.388822,-22.393546,0.0
-24.89,20.37,-25.13,-23.646239,19.356867,-23.875835,0.0
