xs,ys,zs,xe,ye,ze,h
46.363034,25.738457,-25.40553,0.0,0.0,0.0,0.0
47.9,25.35,-25.09,45.011902,23.821737,-23.577699,0.0
47.5,25.89,-26.09,47.12725,25.68789,-25.886729,0.0
47.02,25.88,-25.67,43.090232,23.713307,-23.523209,0.0
47.52,26.34,-26.23,49.203935,27.276608,-27.156221,0.0
47.28,26.25,-25.91,46.347262,25.729705,-25.396889,0.0
47.56,26.45,-26.04,49.749432,27.668847,-27.245201,0.0
47.22,26.33,-25.81,45.700353,25.481702,-24.976809,0.0
47.03,26.6,-26.29,47.038334,26.60788,-26.294978,0.0
47.06,26.82,-25.45,45.12058,25.715585,-24.3989,0.0
46.66,27.06,-25.6,43.910228,25.472292,-24.090876,0.0
