xs,ys,zs,xe,ye,ze,h
0.48002386,73.584267,10.702096,0.0,0.0,0.0,0.0
0.97,72.88,7.89,0.9470079,71.555821,7.7451963,0.0
0.93,73.54,8.23,0.98927879,78.166218,8.7440962,0.0
0.37,73.26,8.21,0.37618124,75.486809,8.4570516,0.0
0.38,71.72,8.25,0.31884291,60.818376,6.9937069,0.0
1.44,72.91,8.87,1.4393832,72.818418,8.8635793,0.0
-0.17,72.03,8.47,-0.15038232,63.949264,7.5193811,0.0
-1.03,72.97,8.57,-1.028598,72.831689,8.5581942,0.0
2.86,72.0,9.46,2.593325,65.228121,8.5716117,0.0
0.21,72.77,9.31,0.20309929,71.96363,9.2031058,0.0
0.56,73.16,9.42,0.57694029,75.811442,9.7655525,0.0
-0.14,72.9,9.29,-0.14552847,73.098051,9.3204014,0.0
0.44,72.67,9.56,0.4271833,71.452851,9.4017255,0.0
0.43,72.64,9.6,0.42339048,71.031767,9.3824979,0.0
-1.28,72.21,9.11,-1.1842665,66.502965,8.3853867,0.0
-0.56,72.83,9.42,-0.56356371,72.633116,9.3920395,0.0
0.52,72.0,9.57,0.46788366,64.878216,8.6197876,0.0
0.74,71.96,9.69,0.66050204,64.722103,8.7183299,0.0
-0.31,73.37,9.62,-0.32745235,78.001147,10.231455,0.0
2.03,73.16,10.27,2.137092,76.96666,10.799473,0.0
0.03,73.2,9.81,0.024343744,76.594942,10.267065,0.0
0.05,73.08,9.87,0.058842917,94.787673,12.808381,1.0
1.25,72.43,10.12,1.203742,69.702356,9.7408772,0.0
0.18,71.73,9.77,0.1512016,62.52306,8.5119985,0.0
0.03,73.04,9.92,0.027876275,75.189416,10.213976,0.0
-0.79,73.09,9.86,-0.82327054,75.630759,10.200635,0.0
0.93,72.86,10.27,0.93501078,73.379348,10.338719,0.0
-1.36,71.6,9.56,-1.1601977,61.18554,8.173815,0.0
0.56,71.66,10.09,0.48543049,62.32364,8.7733611,0.0
0.62,72.81,10.3,0.62199375,73.475486,10.396643,0.0
-0.53,73.67,10.17,-0.5884473,81.43528,11.244242,0.0
0.18,74.09,10.46,0.20374233,85.749459,12.105731,0.0
0.34,71.55,10.15,0.28697177,61.315726,8.6962239,0.0
0.72,73.59,10.6,0.7976488,81.207305,11.702131,0.0
0.56,73.33,10.54,0.59852933,78.610192,11.296722,0.0
0.37,72.21,10.34,0.35162069,68.203013,9.769104,0.0
0.29,72.68,10.39,0.28464351,72.304339,10.336493,0.0
-0.19,71.28,10.1,-0.15792292,58.713113,8.3207824,0.0
0.52,72.38,10.43,0.50402254,70.30229,10.128916,0.0
0.5,70.41,10.15,0.35427524,50.417387,7.2694704,0.0
0.63,70.15,10.17,0.42765822,48.016298,6.9600729,0.0
0.43,72.49,10.47,0.41577076,70.556413,10.192339,0.0
0.37,70.3,10.18,0.26174507,49.304974,7.140271,0.0
0.5,71.42,10.38,0.42150148,60.334494,8.7699556,0.0
0.48,72.79,10.59,0.66875634,102.51559,14.909866,1.0
1.65,71.56,10.71,1.4355699,62.22992,9.3177112,0.0
0.41,73.7,10.71,0.4590472,81.967229,11.915183,0.0
0.41,72.31,10.54,0.3856909,69.019193,10.063037,0.0
0.5,75.11,10.98,0.63348084,95.92798,14.025826,0.0
0.56,73.79,10.85,0.6260921,83.351329,12.256692,0.0
0.81,72.29,10.7,0.76756185,69.043267,10.221457,0.0
0.59,72.84,10.78,0.60070234,74.298339,10.995823,0.0
0.46,72.03,10.63,0.42136405,66.468744,9.8094142,0.0
1.52,72.89,11.04,1.5693265,75.205801,11.392593,0.0
0.75,74.15,11.06,0.86830824,86.281371,12.868124,0.0
-1.19,72.84,10.46,-1.2042823,73.833432,10.598774,0.0
0.88,71.49,10.76,0.75979665,61.571452,9.2699451,0.0
1.73,72.78,11.2,1.7748788,74.640358,11.487311,0.0
0.36,73.09,10.92,0.38202684,77.113361,11.519747,0.0
0.56,72.53,10.93,0.54967627,71.530833,10.775591,0.0
0.51,74.41,11.21,0.60748835,89.102772,13.421587,0.0
0.44,70.51,10.62,0.32037507,51.952623,7.8277658,0.0
0.91,73.2,11.13,0.96689133,78.195951,11.885634,0.0
0.18,72.87,11.03,0.18052141,74.887093,11.33306,0.0
0.2,70.98,10.82,0.16230029,56.695148,8.6403912,0.0
1.82,72.83,11.49,1.8805144,75.512666,11.914776,0.0
1.69,72.58,11.47,1.6909783,72.629043,11.478902,0.0
0.25,73.1,11.24,0.26115678,77.310928,11.887836,0.0
-0.09,73.43,11.23,-0.10451839,80.385778,12.290574,0.0
0.38,73.26,11.33,0.41117747,79.137541,12.242832,0.0
0.37,71.69,11.32,0.33301621,64.164627,10.128737,0.0
-1.53,72.13,11.16,-1.45477,68.628577,10.615724,0.0
0.23,71.78,11.62,0.21120981,65.348892,10.579117,0.0
0.53,71.33,11.71,0.45441496,61.228655,10.052257,0.0
1.56,71.21,12.16,1.3304209,60.953344,10.40876,0.0
-0.37,72.28,11.96,-0.36513474,70.589339,11.679659,0.0
1.77,72.34,12.53,1.7648674,72.154789,12.495366,0.0
1.73,73.2,12.83,1.9080852,80.608612,14.130479,0.0
0.86,73.25,12.67,0.94697789,80.745861,13.964655,0.0
1.43,72.27,12.69,1.4185382,72.034466,12.646975,0.0
0.73,71.51,12.58,0.65923347,64.299001,11.313177,0.0
0.89,72.78,13.15,0.93905053,77.057394,13.918776,0.0
