xs,ys,zs,xe,ye,ze,h
-95.358167,-93.777802,41.24737,0.0,0.0,0.0,0.0
-97.84,-95.9,46.98,-97.19851,-95.282337,46.669669,0.0
-98.12,-96.43,46.28,-99.290299,-97.594422,46.834147,0.0
-97.72,-95.73,42.86,-88.643023,-86.853746,38.882434,0.0
-97.43,-95.27,42.0,-83.796018,-81.952416,36.125494,0.0
-97.9,-95.89,42.27,-89.367778,-87.544625,38.592553,0.0
-97.73,-95.8,42.31,-87.759887,-86.039102,37.996379,0.0
-98.3,-96.27,41.99,-92.029283,-90.147037,39.313088,0.0
-97.78,-95.94,41.97,-93.12162,-91.375544,39.968441,0.0
-98.13,-96.2,41.98,-91.015927,-89.236046,38.943389,0.0
-97.77,-95.95,41.95,-87.483969,-85.864153,37.538546,0.0
-98.4,-96.57,42.1,-93.744058,-92.009374,40.107384,0.0
-97.94,-97.5,43.53,-97.589029,-97.162149,43.376062,0.0
-96.34,-98.82,44.06,-95.853168,-98.334238,43.838,0.0
-96.65,-99.96,41.96,-97.724499,-101.08052,42.432423,0.0
-100.71,-94.83,42.33,-98.989744,-93.223554,41.608169,0.0
-95.45,-101.47,42.0,-98.462146,-104.69431,43.328044,0.0
-94.6,-100.28,42.59,-90.942202,-96.414653,40.950813,0.0
-96.37,-99.49,42.61,-96.252196,-99.379913,42.56419,0.0
-96.97,-98.35,42.78,-94.875469,-96.242124,41.865134,0.0
-101.18,-93.86,43.82,-100.19857,-92.969181,43.398232,0.0
-100.89,-92.75,42.86,-92.967632,-85.485126,39.503689,0.0
