xs,ys,zs,xe,ye,ze,h
-29.111306,12.689464,-6.4241259,0.0,0.0,0.0,0.0
-33.47,16.23,-8.92,-29.327713,14.225746,-7.8168917,0.0
-33.79,15.55,-8.82,-28.878766,13.286634,-7.5373163,0.0
-34.17,15.01,-8.9,-31.117927,13.667727,-8.1037937,0.0
-34.06,15.78,-8.8,-32.137858,14.889506,-8.3045216,0.0
-34.3,14.09,-8.96,-29.402109,12.07322,-7.6839648,0.0
-35.06,14.87,-9.11,-37.623624,15.954343,-9.7776419,0.0
-34.48,15.67,-8.77,-35.120319,15.964193,-8.9368762,0.0
-34.15,14.58,-8.7,-29.623363,12.642697,-7.5435365,0.0
-34.31,14.94,-8.6,-31.212127,13.588194,-7.827455,0.0
-33.58,15.07,-8.39,-25.62864,11.49789,-6.4021444,0.0
-35.12,15.82,-8.74,-38.181395,17.195958,-9.5038796,0.0
-33.69,15.2,-8.25,-26.680497,12.035066,-6.5351649,0.0
-35.36,16.08,-8.63,-43.479625,19.77352,-10.614848,0.0
-35.3,15.97,-8.58,-42.557674,19.251204,-10.339299,0.0
-35.79,16.19,-8.53,-46.86362,21.188162,-11.170487,0.0
-33.88,14.57,-8.09,-27.568276,11.857973,-6.5833894,1.0
-33.62,15.09,-7.84,-25.031345,11.233076,-5.8354326,0.0
-34.54,14.84,-7.98,-31.781571,13.652263,-7.3400996,0.0
-35.49,15.95,-8.11,-43.236203,19.429694,-9.8799851,0.0
-35.28,16.39,-7.98,-43.15058,20.047163,-9.7562092,0.0
-34.33,15.06,-7.76,-27.935698,12.250384,-6.312475,0.0
-35.3,16.72,-7.84,-53.208496,25.200977,-11.817351,1.0
-34.81,15.05,-7.84,-34.698124,14.996925,-7.816165,0.0
-34.04,14.57,-7.6,-26.288795,11.248127,-5.8681352,0.0
-34.87,15.35,-7.74,-35.689513,15.708738,-7.9207526,0.0
-34.25,14.93,-7.56,-33.773092,14.721512,-7.4528634,1.0
-35.73,15.18,-7.89,-42.274379,17.961491,-9.3305224,0.0
-35.52,15.34,-7.77,-40.95529,17.681555,-8.9597336,0.0
-36.01,15.57,-7.87,-45.879825,19.832603,-10.033438,0.0
-33.36,14.7,-7.25,-20.562111,9.060796,-4.4687431,0.0
-34.91,15.14,-7.61,-35.18529,15.25901,-7.6648587,0.0
-33.56,14.66,-7.27,-22.183124,9.691029,-4.8057638,0.0
-35.08,15.29,-7.6,-37.03793,16.138506,-8.0222472,0.0
-35.88,15.55,-7.76,-44.350534,19.224776,-9.5893942,0.0
-34.29,14.98,-7.39,-29.111924,12.713757,-6.2706195,0.0
-33.82,14.57,-7.3,-24.009167,10.338713,-5.185887,0.0
-36.53,15.76,-7.84,-50.605739,21.823296,-10.856881,0.0
-33.78,14.59,-7.23,-23.781257,10.272876,-5.087225,0.0
-36.15,15.27,-7.76,-45.871482,19.374299,-9.8499386,0.0
-35.75,15.46,-7.61,-42.643575,18.442787,-9.0810117,0.0
-33.95,14.46,-7.25,-24.719876,10.523524,-5.2770798,0.0
-34.79,15.1,-7.31,-33.625382,14.58984,-7.071009,0.0
-33.9,16.47,-6.92,-29.600302,14.384415,-6.0400589,0.0
-34.66,15.16,-7.26,-32.564305,14.241233,-6.8168473,0.0
-35.07,15.04,-7.35,-35.801167,15.350729,-7.5060286,0.0
-33.52,14.65,-6.99,-21.521359,9.4013207,-4.4871343,0.0
-34.44,14.87,-7.17,-29.832289,12.875366,-6.208536,0.0
-35.88,15.56,-7.44,-44.079589,19.119506,-9.1445315,0.0
-35.59,15.86,-7.33,-42.325361,18.861554,-8.7136716,0.0
-35.03,16.77,-7.07,-37.956422,18.162459,-7.6621158,0.0
-34.96,16.81,-7.02,-39.976481,19.222937,-8.0353012,0.0
-36.06,15.67,-7.43,-46.265771,20.106311,-9.5399331,0.0
-34.98,15.76,-7.13,-37.011231,16.678677,-7.5401992,0.0
-35.64,15.49,-7.25,-41.437605,18.00639,-8.4271228,0.0
-34.06,15.85,-6.74,-29.851343,13.888088,-5.9093852,0.0
-34.92,14.71,-7.04,-32.963341,13.882133,-6.6489796,0.0
-35.51,15.56,-6.99,-40.40204,17.697727,-7.9560048,0.0
-34.88,14.64,-6.71,-32.178052,13.500329,-6.189318,0.0
