xs,ys,zs,xe,ye,ze,h
70.073686,-54.652961,-38.151755,0.0,0.0,0.0,0.0
70.29,-55.18,-37.61,101.6444,-79.7794,-54.386769,1.0
70.58,-55.27,-38.4,72.928384,-57.097473,-39.672496,0.0
69.62,-54.35,-37.75,71.075361,-55.469662,-38.538451,0.0
70.48,-55.19,-38.38,72.660201,-56.883791,-39.558684,0.0
70.29,-54.83,-38.27,70.01572,-54.607752,-38.120195,0.0
70.06,-54.32,-38.19,66.845218,-51.8129,-36.437733,0.0
70.07,-54.32,-38.31,67.197891,-52.087367,-36.739815,0.0
69.71,-53.75,-38.7,64.476949,-49.699196,-35.794664,0.0
69.89,-54.47,-38.14,66.607873,-51.89979,-36.344572,0.0
