xs,ys,zs,xe,ye,ze,h
30.412585,54.574487,-35.645827,0.0,0.0,0.0,0.0
30.04,53.63,-35.56,31.348735,55.975972,-37.117675,0.0
30.07,53.22,-35.01,29.270131,51.80315,-34.081343,0.0
29.86,53.27,-34.73,28.381038,50.636923,-33.014953,0.0
29.56,53.03,-34.67,26.83224,48.134607,-31.46843,0.0
29.94,53.72,-35.08,42.839037,76.873398,-50.21056,1.0
29.05,53.29,-35.27,27.476199,50.408634,-33.361476,0.0
29.88,53.78,-35.09,30.471914,54.854059,-35.792629,0.0
28.99,53.46,-35.25,27.718927,51.124096,-33.712258,0.0
29.39,54.15,-35.12,30.33553,55.892663,-36.249218,0.0
28.67,53.53,-35.01,26.661296,49.786971,-32.560235,0.0
29.74,54.14,-34.67,30.377682,55.31604,-35.422436,0.0
29.32,54.09,-34.36,28.630712,52.822276,-33.560124,0.0
