xs,ys,zs,xe,ye,ze,h
91.886387,-48.964049,-4.8277001,0.0,0.0,0.0,0.0
97.73,-52.31,-4.56,101.44397,-54.27927,-4.7332477,0.0
97.05,-50.96,-4.63,91.566617,-48.070611,-4.3693352,0.0
96.78,-51.59,-5.09,91.992176,-49.020421,-4.8332572,0.0
96.92,-52.74,-5.51,96.996587,-52.771307,-5.5104229,0.0
97.46,-51.9,-5.17,85.703458,-45.630097,-4.5444082,0.0
96.52,-51.44,-5.36,89.46191,-47.666623,-4.9678787,0.0
97.16,-50.69,-5.16,91.716715,-47.843282,-4.8721714,0.0
98.07,-51.12,-5.48,100.19092,-52.216907,-5.5954789,0.0
