xs,ys,zs,xe,ye,ze,h
24.029826,-49.591727,-80.869077,0.0,0.0,0.0,0.0
26.28,-52.47,-81.33,23.882224,-47.679804,-73.91059,0.0
27.18,-52.11,-81.22,24.632544,-47.211167,-73.59517,0.0
26.78,-51.84,-81.63,24.490761,-47.403247,-74.652746,0.0
26.2,-51.22,-82.26,24.040058,-46.989364,-75.475064,0.0
25.71,-51.54,-83.05,25.112465,-50.334556,-81.113875,0.0
24.79,-51.18,-83.46,24.034737,-49.601863,-80.885604,0.0
24.91,-51.05,-83.35,23.909462,-48.985011,-79.994039,0.0
24.4,-51.12,-83.45,23.33506,-48.880909,-79.80435,0.0
24.71,-51.37,-84.12,25.181325,-52.331956,-85.695143,0.0
24.86,-51.02,-84.46,25.671917,-52.674728,-87.200512,0.0
25.47,-50.63,-83.48,24.476182,-48.642651,-80.200827,0.0
24.34,-50.56,-83.51,22.806279,-47.361378,-78.241428,0.0
25.67,-52.21,-83.28,26.152181,-53.182504,-84.840231,0.0
23.06,-51.8,-83.65,22.671022,-50.923265,-82.239093,0.0
28.18,-52.23,-82.08,28.029584,-51.941077,-81.6272,0.0
25.19,-52.75,-82.98,25.461403,-53.306058,-83.862015,0.0
26.82,-50.82,-81.69,23.439656,-44.412256,-71.398026,0.0
24.17,-50.01,-84.58,23.815398,-49.275773,-83.335557,0.0
24.47,-50.05,-84.14,23.597881,-48.248594,-81.120634,0.0
25.72,-54.03,-82.66,26.984019,-56.666193,-86.696172,0.0
26.19,-51.19,-82.42,24.238441,-47.365546,-76.275835,0.0
25.89,-49.87,-83.39,24.12062,-46.448693,-77.671811,0.0
23.6,-50.93,-84.7,24.129995,-52.059421,-86.59454,0.0
23.51,-51.6,-84.49,24.344307,-53.42415,-87.486825,0.0
