xs,ys,zs,xe,ye,ze,h
-20.802467,21.974929,0.16576695,0.0,0.0,0.0,0.0
-20.3,21.46,-0.54,-19.899638,21.033533,-0.52583415,0.0
-20.79,21.15,-0.33,-21.533089,21.907169,-0.34702315,0.0
-20.32,21.21,-0.18,-19.207372,20.041574,-0.17256181,0.0
-19.93,21.26,0.18,-17.424228,18.590336,0.16146029,0.0
-20.48,21.52,0.17,-21.358509,22.439781,0.17518146,0.0
-20.38,21.43,0.39,-20.325725,21.362927,0.3877582,0.0
-20.02,22.17,0.81,-21.545082,23.846958,0.86865027,0.0
-20.08,22.01,0.87,-20.630873,22.608645,0.89479509,0.0
