xs,ys,zs,xe,ye,ze,h
61.264539,-52.283642,35.579201,0.0,0.0,0.0,0.0
63.7,-54.75,37.53,56.469851,-48.528579,33.264628,0.0
64.61,-54.89,37.52,62.059198,-52.710201,36.033488,0.0
64.36,-55.25,37.52,62.110737,-53.310361,36.200992,0.0
65.52,-56.03,38.09,72.540393,-62.019761,42.169611,0.0
64.47,-55.07,37.39,61.98902,-52.935874,35.946944,0.0
64.39,-54.96,37.4,60.422628,-51.565149,35.090269,0.0
64.59,-55.24,37.54,63.682224,-54.45756,37.006871,0.0
64.45,-55.47,37.53,63.669191,-54.782964,37.069354,0.0
63.86,-54.51,37.05,56.704862,-48.391111,32.891479,0.0
64.76,-54.76,37.37,62.37688,-52.735025,35.99291,0.0
63.44,-53.94,36.53,50.688945,-43.091482,29.185228,0.0
65.5,-55.11,37.35,67.172538,-56.502345,38.304412,0.0
64.04,-55.0,36.67,58.067981,-49.862614,33.252546,0.0
64.88,-55.08,37.02,63.28898,-53.724466,36.109108,0.0
64.82,-54.13,36.7,58.606476,-48.92505,33.174057,0.0
65.82,-55.04,37.04,67.808931,-56.690028,38.158912,0.0
63.46,-57.16,36.33,61.95354,-55.787495,35.466523,0.0
64.42,-56.49,36.19,64.05437,-56.151875,35.982015,0.0
65.32,-55.29,38.06,68.94846,-58.344758,40.166175,0.0
64.96,-54.65,37.67,62.876747,-52.887628,36.464032,0.0
66.16,-55.91,37.48,73.482789,-62.086484,41.626682,0.0
65.13,-54.46,37.31,62.656746,-52.384021,35.895273,0.0
