xs,ys,zs,xe,ye,ze,h
-63.876454,7.6124469,61.200599,0.0,0.0,0.0,0.0
-65.45,7.14,62.84,-63.184737,6.8931993,60.659314,0.0
-67.01,8.32,63.17,-73.796859,9.1637475,69.565784,0.0
