xs,ys,zs,xe,ye,ze,h
24.63133,103.48849,-17.566519,0.0,0.0,0.0,0.0
25.18,105.86,-18.93,24.393019,102.5663,-18.337823,0.0
25.33,106.28,-18.17,25.176483,105.62998,-18.057102,0.0
25.25,106.1,-18.01,24.962464,104.88029,-17.802616,0.0
25.42,106.14,-17.92,24.956203,104.19921,-17.587735,0.0
25.24,106.26,-17.91,24.791965,104.36267,-17.592078,0.0
24.99,105.79,-17.75,23.60479,99.950993,-16.765932,0.0
23.99,106.24,-17.71,23.062018,102.16435,-17.02705,0.0
25.09,105.9,-17.7,23.966099,101.16449,-16.905037,0.0
