xs,ys,zs,xe,ye,ze,h
-38.646973,19.224173,3.2964819,0.0,0.0,0.0,0.0
-39.5,20.19,2.63,-35.740013,18.271022,2.3801895,0.0
-39.67,21.12,3.12,-40.771026,21.706102,3.2028999,0.0
-40.08,19.95,2.81,-40.034788,19.931981,2.8049979,0.0
-40.88,20.06,2.88,-46.851576,22.98361,3.3056849,0.0
-40.16,19.97,3.26,-41.760887,20.761858,3.386912,0.0
-39.39,19.4,3.21,-33.086669,16.294271,2.6998958,0.0
-39.9,19.85,3.4,-38.638045,19.219731,3.2957231,0.0
-40.22,20.35,3.93,-43.977493,22.243875,4.2977901,0.0
-40.0,19.7,3.77,-39.377114,19.393383,3.7070364,0.0
-39.25,20.33,4.12,-35.779714,18.534438,3.7560018,0.0
-39.75,19.53,3.88,-36.667631,18.012927,3.5832113,0.0
-40.32,19.73,4.18,-42.160509,20.628958,4.3723151,0.0
-40.81,19.62,4.17,-45.519724,21.882586,4.650329,0.0
-40.14,19.99,4.66,-41.961217,20.899135,4.8702499,0.0
-39.6,20.26,3.16,-37.672473,19.266405,3.0077887,0.0
-40.05,19.71,3.1,-39.704808,19.541864,3.0746325,0.0
-39.7,19.81,3.58,-36.997576,18.455675,3.3403349,0.0
-39.76,20.03,4.37,-38.76996,19.530974,4.2585966,0.0
-39.92,19.6,3.64,-38.120795,18.716513,3.4798268,0.0
-39.75,20.3,3.19,-39.263726,20.051305,3.1535718,0.0
-40.08,19.57,3.58,-39.762668,19.411675,3.5481307,0.0
-40.93,20.15,3.76,-48.069136,23.664669,4.4135223,0.0
-40.7,19.41,4.14,-43.974737,20.962574,4.4675927,0.0
-39.17,19.79,4.71,-33.582754,16.964172,4.03498,0.0
