xs,ys,zs,xe,ye,ze,h
-2.8822805,67.191424,-12.417614,0.0,0.0,0.0,0.0
-1.24,69.64,-14.26,-2.1814997,122.29283,-25.034773,1.0
-1.44,69.69,-14.1,-1.6421903,79.335915,-16.051086,0.0
-1.66,68.52,-13.52,-1.6349425,67.293701,-13.274672,0.0
-2.17,68.53,-13.51,-2.1354209,67.507402,-13.309253,0.0
-2.03,67.74,-13.18,-1.7825752,59.518372,-11.576763,0.0
-2.08,68.03,-13.06,-1.8926871,61.822343,-11.869964,0.0
-2.23,68.37,-13.07,-2.1291136,65.351876,-12.496562,0.0
-2.18,68.08,-12.93,-1.9974759,62.373406,-11.84731,0.0
-3.4,68.76,-13.34,-3.4568608,69.774735,-13.53817,0.0
-2.61,67.68,-12.72,-2.2553101,58.344981,-10.969269,0.0
-2.42,68.83,-12.9,-2.4442667,69.349956,-12.998811,0.0
-2.43,68.43,-12.77,-2.3232956,65.401127,-12.200809,0.0
-2.38,67.75,-12.61,-2.0689891,58.774284,-10.942359,0.0
-2.51,68.39,-12.82,-2.4010179,65.4961,-12.276741,0.0
-2.34,69.49,-12.93,-2.5491416,75.639527,-14.074242,0.0
-2.45,68.33,-12.76,-3.2377006,90.215826,-16.843295,1.0
-2.6,67.63,-12.6,-2.2171162,57.724945,-10.754196,0.0
-2.6,68.47,-12.76,-2.5063467,65.869879,-12.271094,0.0
-2.19,68.88,-12.67,-2.2095566,69.439896,-12.776084,0.0
-2.17,68.51,-12.6,-2.0861832,65.725237,-12.087211,0.0
-2.45,68.45,-12.68,-2.3460814,65.4742,-12.131859,0.0
-3.01,68.36,-12.73,-2.8561853,64.901605,-12.090915,0.0
-2.34,68.74,-12.55,-2.3156807,67.888828,-12.395449,0.0
-3.06,67.53,-12.61,-2.5876857,57.037048,-10.647321,0.0
-2.94,68.62,-12.68,-2.8645645,66.778807,-12.341235,0.0
-2.49,67.19,-12.26,-1.9714175,53.225196,-9.7124481,0.0
-2.96,68.58,-12.68,-2.8842786,66.826928,-12.351641,0.0
-2.75,69.9,-12.76,-3.1250584,79.239208,-14.469073,0.0
-3.28,69.6,-12.84,-3.6234941,76.769395,-14.168724,0.0
-2.79,67.52,-12.22,-3.2719854,79.024544,-14.304457,1.0
-2.82,67.82,-12.18,-2.454044,58.946726,-10.586067,0.0
-2.2,69.19,-12.13,-2.2780015,71.603095,-12.548321,0.0
-2.88,68.04,-11.93,-2.5646302,60.591919,-10.625766,0.0
-2.83,68.4,-11.8,-2.6512566,63.941667,-11.028947,0.0
-2.85,69.53,-11.85,-3.051362,74.523371,-12.704013,0.0
-2.85,69.89,-12.9,-3.2468815,79.43371,-14.657733,0.0
